Strain,Diet,Body Weight (g),Skin Wet weight (g),Skin Dry Weight (g),Skin relative water,Skin Ash weight (g),Cl- (mg/kg),K+ (mg/kg),Na+ (mg/kg),Total  Cl- in skin (mg),Total K+ in skin (mg),Total Na+ in skin (mg),Total  Cl- in skin (mmol),Total K+ in skin (mmol),Total Na+ in skin (mmol),rSkin Cl- (mmol /g DW),rSkin K+ (mmol /g DW),rSkin Na+ (mmol /g DW),Skin Na+/Skin W,Skin K+/Skin W,Skin (Na + K)/Skin W,%W
HXB24 ,Voda,275.9,52.54315452,21.98046704,0.582,0.4455081993,120000,200000,140000,53.46098391,89.10163986,62.3711479,1.507952396,2.278913402,2.712992192,0.0686042018,0.1036790255,0.1234274134,0.08876811614,0.07456521626,0.1633333324,58.16683023
HXB24 ,Voda,268.8,50.47428307,22.05406001,0.563,0.418826517,120000,190000,142000,50.25918204,79.57703824,59.47336542,1.417640463,2.035306861,2.586945751,0.06428024875,0.09228717344,0.1173002046,0.09102482218,0.07161473913,0.1626395613,56.30634322
BXH9 ,Sůl,307.8,55.82395235,23.21062822,0.584,0.7636290527,100000,132000,146000,76.36290527,100.799035,111.4898417,2.153937649,2.578092525,4.849535085,0.0927996273,0.1110737934,0.2089359684,0.1486979698,0.0790502837,0.2277482535,58.42173969
BXH9 ,Sůl,327.8,60.98064585,24.3414152,0.601,1.700651328,51600,47800,39000,87.75360853,81.29113348,66.3254018,2.475230618,2.07914752,2.884992553,0.1016880324,0.08541604929,0.1185219729,0.07874053307,0.0567464841,0.1354870172,60.08337587
BXH9 ,Sůl,295.7,53.09303996,20.86366262,0.607,1.33010789,58500,49900,50900,77.81131156,66.37238371,67.7024916,2.19479226,1.697577227,2.944892587,0.1051968823,0.08136525492,0.1411493581,0.09137292837,0.05267173515,0.1440446635,60.70358255
BXH9 ,Voda,315.8,57.10252383,24.12512384,0.578,0.5487933998,99700,169000,126000,54.71470196,92.74608457,69.14796838,1.543315515,2.372125759,3.007767287,0.06397129918,0.09832595159,0.1246736517,0.09120692621,0.07193186122,0.1631387874,57.75121269
BXH9 ,Voda,302,54.34012917,23.65421859,0.565,0.5526009593,107000,156000,124000,59.12830265,86.20574966,68.52251896,1.667808168,2.204846494,2.980561769,0.07050785304,0.09321155484,0.1260055054,0.0971312799,0.07185207974,0.1689833596,56.47007294
BXH9 ,Voda,291.1,51.71520645,20.99126087,0.594,0.7266650601,72300,96400,79100,52.53788384,70.05051179,57.47920625,1.481914885,1.79165109,2.50020471,0.07059675423,0.08535223778,0.1191069334,0.08137642036,0.05831448584,0.1396909062,59.40988674
BXH11 ,Sůl,220.5,39.22958282,15.31273252,0.61,0.3864312883,83500,155000,135000,32.26701258,59.89684969,52.16822393,0.9101426006,1.531955346,2.269189985,0.05943698159,0.1000445442,0.1481897488,0.09487829527,0.06405339023,0.1589316855,60.96636412
BXH11 ,Sůl,261.9,46.465,17.93064382,0.614,0.473701824,104000,150000,151000,49.26498969,71.0552736,71.52897542,1.389597681,1.81734944,3.111335263,0.07749848217,0.1013543885,0.1735205547,0.109038215,0.06368987015,0.1727280851,61.41042973
BXH11 ,Sůl,219.6,38.22462143,15.52716834,0.594,0.3744976307,71500,159000,136000,26.7765806,59.54512328,50.93167778,0.7552762017,1.522959394,2.215403256,0.04864223696,0.09808352436,0.1426791549,0.09760580835,0.06709825055,0.1647040589,59.37914423
BXH11 ,Voda,215.6,38.99338312,16.68290684,0.572,0.3457704552,83500,184000,166000,28.87183301,63.62176375,57.39789555,0.8143761407,1.627225832,2.496667894,0.0488150026,0.09753850738,0.149654249,0.1119056296,0.07293550399,0.1848411335,57.21605692
BXH11 ,Voda,256.2,44.5236406,17.39225812,0.609,0.75315895,57700,79800,64600,43.45727141,60.10208421,48.65406817,1.225781715,1.537204538,2.116332816,0.07047858342,0.08838441377,0.1216824636,0.07800313226,0.05665780355,0.1346609358,60.93702606
BXH11 ,Voda,257.7,46.94995719,19.22775535,0.59,0.4000183486,135000,169000,162000,54.00247706,67.60310092,64.80297248,1.523226075,1.729054739,2.818770606,0.07922017141,0.08992493964,0.1465990468,0.1016791748,0.06237075791,0.1640499327,59.04627713
