Kmen,Dieta,Číslo,Označení pro ALS,Body Weight (g),Carcass Wet weight (g),Carcass Dry Weight (g),Carcass relative water,Carcass Ash weight (g),Cl- (mg/kg ash),K+ (mg/kg ash),Na+ (mg/kg ash),Total  Cl- in carcass (mg),Total K+ in carcass (mg),Total Na+ in carcass (mg),Total  Cl- in carcass (mmol),Total K+ in carcass (mmol),Total Na+ in carcass (mmol),rCarcass Cl- (mmol /g DW),rCarcass K+ (mmol /g DW),rCarcass Na+ (mmol /g DW),Carcass Na+/Carcass W,Carcass K+/Carcass W,Carcass (Na + K)/Carcass W,%W,rCar Na+/rW,rCar K+/rW,rCar Na+K/rW,rCar (Na+K),,Water/salt consuption,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15
,,,Průměr,353.100,234.709,68.579,0.708,2.505,19100.000,178000.000,46266.667,47.689,445.975,116.015,1.345,11.407,5.046,0.020,0.166,0.073,0.03030435662,0.06859666337,0.09890101999,70.76568482,0.04281729561,0.09692951766,0.1397468133,0.09890101999,,,46.83333333,42.8,40.66666667,50.7,49.23333333,49.23333333,49.23333333,47.8,48.16666667,51.63333333,44.06666667,47.8,47.8,47.8
,,,SEM,14.27298939,9.546620187,2.332980381,0.00200770996,0.1028943845,868.2084025,6288.752225,2341.755769,0.804522988,24.41954307,8.27969559,0.02269285521,0.6245678986,0.3601464819,0.0009245103711,0.003869007752,0.002817228398,0.00087365562,0.0009889282637,0.00182085606,,0.001114579929,0.001163952434,0.002200096192,0.00182085606,,,4.635997564,5.646722823,1.357696115,4.610652068,3.1686491,3.1686491,3.1686491,1.605956665,1.553896224,2.354710976,2.83416567,3.660021101,3.660021101,3.660021101
,Voda,4,HXB13-W-Carcass-4,377.900,246.066,72.870,0.704,2.677,18100.000,168000.000,42800.000,48.454,449.736,114.576,1.367,11.503,4.984,0.019,0.158,0.068,0.02877524893,0.0664143491,0.09518959803,70.385994,0.04088206659,0.09435733634,0.1352394029,0.09518959803,,,49.8,44.1,46.5,52.4,50,50,50,48.4,43.9,48.6,43.4,45.8,45.8,45.8
,Voda,5,HXB13-W-Carcass-5,380.000,254.325,74.266,0.708,2.507,17600.000,192000.000,52300.000,44.123,481.344,131.116,1.245,12.311,5.703,0.017,0.166,0.077,0.03167422488,0.06837271951,0.1000469444,70.79878109,0.044738376,0.09657330035,0.1413116763,0.1000469444,,,45.4,41,48.4,49.6,45.8,45.8,45.8,44,41.8,43.2,47.2,41.53,41.53,41.53
,Voda,6,HXB13-W-Carcass-6,350.000,234.445,69.890,0.702,2.387,17400.000,197000.000,52200.000,41.534,470.239,124.601,1.172,12.027,5.420,0.017,0.172,0.078,0.03293643926,0.0730886075,0.1060250468,70.18917017,0.04692524385,0.1041308899,0.1510561337,0.1060250468,,,37.8,35.9,43.4,40.7,38.4,38.4,38.4,39.6,38.2,38,39.1,34.9,34.9,34.9
,,,Průměr,369.300,244.945,72.342,0.705,2.524,17700.000,185666.667,49100.000,44.704,467.106,123.431,1.261,11.947,5.369,0.017,0.165,0.074,0.03112863769,0.06929189203,0.1004205297,70.45798175,0.04418189548,0.09835384219,0.1425357377,0.1004205297,,,,,,,,,,,,,,,,
,,,SEM,9.736766615,5.806551111,1.299575585,0.001808812832,0.08471896509,209.6250742,9013.190662,3172.202992,2.032712555,9.322772157,4.844260348,0.05733590261,0.2384444377,0.210713462,0.0006697215155,0.004146451684,0.0029549857,0.001240448263,0.001994625851,0.003155451246,,0.001778941589,0.002979237588,0.00463900985,0.003155451246,,,,,,,,,,,,,,,,
BXH12,Sůl,1,BXH12-S-Carcass-1,238.000,152.657,45.158,0.704,1.540,17300.000,181000.000,60200.000,26.642,278.740,92.708,0.751,7.129,4.033,0.017,0.158,0.089,0.03751263701,0.06631885154,0.1038314886,70.41865096,0.05327088278,0.09417796369,0.1474488465,0.1038314886,,,57.5,55.6,47.8,44.7,44.7,44.7,51.7,44.6,46.4,49.3,41.7,41.7,41.7,43.5
,Sůl,2,BXH12-S-Carcass-2,246.500,157.531,45.878,0.709,1.545,16000.000,202000.000,59400.000,24.720,312.090,91.773,0.697,7.982,3.992,0.015,0.174,0.087,0.03575274069,0.07149103458,0.1072437753,70.87684329,0.05044347213,0.1008665613,0.1513100334,0.1072437753,,,61.1,44.4,50.1,42.8,42.8,42.8,46.3,47.4,49.3,44.6,47,47,47,47.7
,Sůl,3,BXH3-S-Carcass-3,237.200,149.496,43.496,0.709,1.550,18300.000,193000.000,61200.000,28.365,299.150,94.860,0.800,7.651,4.126,0.018,0.176,0.095,0.03892620468,0.07218139437,0.111107599,70.90490715,0.05489916882,0.1018002805,0.1566994493,0.111107599,,,46.2,42.9,52.9,46.1,46.1,46.1,52.3,44.5,50.5,53.3,46.7,46.7,46.7,54.8
,,,,240.567,153.228,44.844,0.707,1.545,17200.000,192000.000,60266.667,26.576,296.660,93.114,0.750,7.588,4.050,0.017,0.169,0.090,0.03739719413,0.06999709349,0.1073942876,70.73346714,0.05287117458,0.09894826849,0.1518194431,0.1073942876,,,54.93333333,47.63333333,50.26666667,44.53333333,44.53333333,44.53333333,50.1,45.5,48.73333333,49.06666667,45.13333333,45.13333333,45.13333333,48.66666667
,,,,2.996490045,2.353383021,0.710261456,0.0015872073,0.002906976744,670.4978253,6125.380089,524.3313666,1.060119272,9.775496748,0.9203354928,0.02990235644,0.2500235751,0.04003234012,0.0009305432352,0.00575839573,0.002347903706,0.0009243479797,0.001862847954,0.002116505583,,0.001310802618,0.00241715169,0.002701333027,0.002116505583,,,4.520076203,4.034872551,1.484931221,0.9629657557,0.9629657557,0.9629657557,1.92124554,0.9570975368,1.225535795,2.531797068,1.730892493,1.730892493,1.730892493,3.320746472
,Voda,4,BXH12-W-Carcass-4,243.600,157.359,45.804,0.709,1.687,21700.000,185000.000,56900.000,36.608,312.095,95.990,1.033,7.982,4.175,0.023,0.174,0.091,0.03742855971,0.07155498513,0.1089835448,70.89203668,0.05279656427,0.1009351522,0.1537317165,0.1089835448,,,46.4,35.3,35.2,31.6,31.6,31.6,36.3,32.5,38.6,32.7,34,34,34,33.3
,Voda,5,BXH12-W-Carcass-5,255.800,467.801,48.812,0.896,1.672,18200.000,187000.000,54500.000,30.430,312.664,91.124,0.858,7.997,3.964,0.018,0.164,0.081,0.009460083308,0.0190861083,0.02854619161,89.56564864,0.01056217808,0.02130962996,0.03187180804,0.02854619161,,,43.4,38.4,34.8,31,31,31,38.6,28.4,35.7,36.1,30.8,30.8,30.8,31.8
,Voda,6,BXH12-W-Carcass-6,244.800,159.298,46.178,0.710,1.650,19900.000,182000.000,58100.000,32.835,300.300,95.865,0.926,7.681,4.170,0.020,0.166,0.090,0.03686255954,0.06789816873,0.1047607283,71.01156323,0.05191064365,0.09561565136,0.147526295,0.1047607283,,,41.9,36.9,35.6,30.1,30.1,30.1,38.1,26.5,35.2,33.2,30,30,30,31.2
,,,,248.067,261.486,46.931,0.772,1.670,19933.333,184666.667,56500.000,33.291,308.353,94.326,0.939,7.887,4.103,0.020,0.168,0.088,0.02791706752,0.05284642072,0.08076348824,77.15641619,0.03842312867,0.07262014451,0.1110432732,0.08076348824,,,43.9,36.86666667,35.2,30.9,30.9,30.9,37.66666667,29.13333333,36.5,34,31.6,31.6,31.6,32.1
,,,,3.90935236,103.8817799,0.9531425446,0.0624818414,0.01081978671,1017.580279,1463.146208,1065.715278,1.810409195,4.058083186,1.6128466,0.05106548147,0.1037918064,0.07015487739,0.001441563174,0.003169934743,0.003207181877,0.009294605966,0.01703163015,0.02632021498,,0.01403043994,0.02588124316,0.03990387603,0.02632021498,,,1.332144097,0.9013190662,0.2325581395,0.4389438625,0.4389438625,0.4389438625,0.7033041594,1.782840408,1.067299986,1.067299986,1.230582005,1.230582005,1.230582005,0.6288752225
HXB10,Sůl,1,HXB10-S-Carcass-1,239.300,146.666,43.575,0.703,1.516,17300.000,185000.000,57800.000,26.227,280.460,87.625,0.740,7.173,3.811,0.017,0.165,0.087,0.03697184249,0.06958126222,0.1065531047,70.28963768,0.0525992788,0.098992205,0.1515914838,0.1065531047,,,63.7,54.7,58.9,54.7,54.7,54.7,95.7,92.1,81.9,80.5,68.8,68.8,68.8,69.6
,Sůl,2,HXB10-S-Carcass-2,233.000,146.377,44.620,0.695,1.458,14700.000,154000.000,59100.000,21.433,224.532,86.168,0.605,5.743,3.748,0.014,0.129,0.084,0.03683371446,0.05643598061,0.09326969507,69.51706894,0.05298513736,0.08118291158,0.1341680489,0.09326969507,,,57.7,66.7,61.7,63.1,63.1,63.1,70.4,59.6,67.5,64.4,69.1,69.1,69.1,64.8
,Sůl,3,HXB10-S-Carcass-3,240.800,149.147,45.411,0.696,1.531,17100.000,155000.000,62400.000,26.180,237.305,95.534,0.738,6.069,4.156,0.016,0.134,0.092,0.04005853749,0.05850857441,0.09856711189,69.55285725,0.05759438084,0.08412102208,0.1417154029,0.09856711189,,,69.8,71.3,66.5,64.8,64.8,64.8,76.5,59.1,79.1,66.4,63.1,63.1,63.1,93.6
,,,,237.700,147.397,44.535,0.698,1.502,16366.667,164666.667,59766.667,24.613,247.432,89.776,0.694,6.328,3.905,0.016,0.142,0.088,0.03795469815,0.06150860575,0.09946330389,69.78652129,0.05439293233,0.08809871289,0.1424916452,0.09946330389,,,63.73333333,64.23333333,62.36666667,60.86666667,60.86666667,60.86666667,80.86666667,70.26666667,76.16666667,70.43333333,67,67,67,76
,,,,2.406302568,0.8852935696,0.5354207154,0.002535342249,0.0224145313,841.1835044,10242.02346,1378.695846,1.60148285,17.03902498,2.930311545,0.04517238037,0.4357996378,0.1274613761,0.001051462802,0.01131591402,0.002184880046,0.001060050474,0.004109019524,0.00388773175,,0.001615837326,0.005551008948,0.005080009347,0.00388773175,,,3.517481901,4.982844193,2.234656636,3.144017758,3.144017758,3.144017758,7.676253598,10.99411277,4.438957613,5.101833907,1.965597849,1.965597849,1.965597849,8.970837917
,Voda,4,HXB10-W-Carcass-4,227.900,145.656,45.014,0.691,1.486,18600.000,124000.000,60400.000,27.640,184.264,89.754,0.780,4.713,3.904,0.017,0.105,0.087,0.03879192186,0.04682775757,0.08561967942,69.09567749,0.05614232795,0.06777234014,0.1239146681,0.08561967942,,,53.6,41.2,42.7,37.4,37.4,37.4,43.8,37.9,40,41.9,36.8,36.8,36.8,38.2
,Voda,5,HXB10-W-Carcass-5,228.800,146.545,44.563,0.696,1.497,19100.000,94800.000,59600.000,28.593,141.916,89.221,0.807,3.630,3.881,0.018,0.081,0.087,0.03805479109,0.0355917005,0.0736464916,69.59091064,0.05468356534,0.05114417986,0.1058277452,0.0736464916,,,49.9,47.2,35.8,37.3,37.3,37.3,42.6,36.3,42.7,38.4,36,36,36,35.5
,Voda,6,HXB10-W-Carcass-6,221.300,140.422,42.540,0.697,1.512,18800.000,108000.000,59100.000,28.426,163.296,89.359,0.802,4.177,3.887,0.019,0.098,0.091,0.0397101241,0.04266923311,0.08237935721,69.70560169,0.0569683399,0.06121349229,0.1181818322,0.08237935721,,,44.2,37.2,40.7,31,31,31,39.8,37.3,38.1,34.7,31.5,31.5,31.5,22.2
,,,,226.000,144.208,44.039,0.695,1.498,18833.333,108933.333,59700.000,28.219,163.159,89.445,0.796,4.173,3.891,0.018,0.095,0.088,0.03885227902,0.0416962304,0.08054850941,69.46406327,0.05593141107,0.06004333743,0.1159747485,0.08054850941,,,49.23333333,41.86666667,39.73333333,35.23333333,35.23333333,35.23333333,42.06666667,37.16666667,40.26666667,38.33333333,34.76666667,34.76666667,34.76666667,31.96666667
,,,,2.380883166,1.923534394,0.766053404,0.001884560302,0.007587896105,146.3146208,8501.37053,381.2464258,0.295895204,12.31077597,0.1608986952,0.008346196594,0.3148672953,0.006998699215,0.0004443328071,0.006971428588,0.001501100755,0.0004821601337,0.003302831976,0.003600584233,,0.0006726151585,0.004869541826,0.005373980615,0.003600584233,,,2.753097801,2.926292417,2.064021726,2.131694854,2.131694854,2.131694854,1.193395684,0.4699362656,1.343933213,2.093292403,1.661136489,1.661136489,1.661136489,4.979790598
HXB17,Sůl,1,HXB17-S-Carcass-1,280.100,176.166,52.691,0.701,1.943,12800.000,190000.000,47500.000,24.870,369.170,92.292,0.702,9.442,4.014,0.013,0.179,0.076,0.03251263603,0.07646971861,0.1089823546,70.09014225,0.04638688835,0.1091019595,0.1554888478,0.1089823546,,,91,57.6,57.6,57.6,60.7,51.5,64.9,57.5,55.2,55.2,55.2,66.6,60.8,55.8
,Sůl,2,HXB17-S-Carcass-2,296.600,188.863,55.357,0.707,2.152,17200.000,174000.000,43100.000,37.014,374.448,92.751,1.044,9.577,4.034,0.019,0.173,0.073,0.03021924154,0.0717352897,0.1019545312,70.68933566,0.04274936418,0.101479649,0.1442290132,0.1019545312,,,71.5,49.6,49.6,49.6,43.5,52.9,48.2,49.4,48,48,48,98.3,53.8,50
,Sůl,3,HXB17-S-Carcass-3,289.900,181.516,54.711,0.699,1.820,11500.000,195000.000,48800.000,20.930,354.900,88.816,0.590,9.077,3.863,0.011,0.166,0.071,0.03046629468,0.07158330508,0.1020495998,69.85885542,0.04361121364,0.1024684768,0.1460796905,0.1020495998,,,95.2,60.5,60.5,60.5,60.9,54.4,71,69.8,61.3,61.3,61.3,73.2,63.7,60.4
,,,,288.867,182.182,54.253,0.702,1.972,13833.333,186333.333,46466.667,27.605,366.173,91.287,0.779,9.365,3.971,0.014,0.173,0.073,0.03106605742,0.07326277113,0.1043288285,70.21277778,0.04424915539,0.1043500284,0.1485991838,0.1043288285,,,85.9,55.9,55.9,55.9,55.03333333,52.93333333,61.36666667,58.9,54.83333333,54.83333333,54.83333333,79.36666667,59.43333333,55.4
,,,,4.824647337,3.706174701,0.8085811074,0.002491901161,0.09758497658,1736.741217,6377.706462,1736.741217,4.874202908,5.87954516,1.251064469,0.1374846742,0.1503785372,0.05441824065,0.002400109882,0.003865540134,0.001630596529,0.0007318890165,0.001615312466,0.002343227986,,0.00110512884,0.002409817564,0.003510436724,0.002343227986,,,7.352525201,3.282181436,3.282181436,3.282181436,5.807360603,0.8431903069,6.862517759,5.971980275,3.870684382,3.870684382,3.870684382,9.724144993,2.959030081,3.029956796
,Voda,4,HXB17-W-Carcass-4,278.000,180.528,54.428,0.699,1.779,12500.000,200000.000,51000.000,22.238,355.800,90.729,0.627,9.100,3.946,0.012,0.167,0.073,0.03129650525,0.07216605792,0.1034625632,69.85066029,0.04480488105,0.1033147827,0.1481196638,0.1034625632,,,51.5,33.6,33.6,33.6,35.5,30.8,36.2,34.7,33.8,33.8,33.8,21.3,33.1,31.2
,Voda,5,HXB17-W-Carcass-5,271.700,173.778,51.110,0.706,1.970,18100.000,173000.000,43600.000,35.657,340.810,85.892,1.006,8.717,3.736,0.020,0.171,0.073,0.0304569379,0.07105966736,0.1015166053,70.58891229,0.04314691488,0.1006668966,0.1438138115,0.1015166053,,,64.9,34,34,34,45.8,36.2,48.7,36.4,34.8,34.8,34.8,28.4,32.7,36
,Voda,6,HXB17-W-Carcass-6,289.700,181.424,54.329,0.701,2.344,13500.000,136000.000,34000.000,31.644,318.784,79.696,0.893,8.153,3.467,0.016,0.150,0.064,0.02727550912,0.06415199633,0.09142750545,70.05412735,0.0389349067,0.09157489895,0.1305098056,0.09142750545,,,57.9,38,38,38,41.9,40.8,41.2,43.1,34,34,34,27.5,40.4,33.6
,,,,279.800,178.577,53.289,0.702,2.031,14700.000,169666.667,42866.667,29.846,338.465,85.439,0.842,8.657,3.716,0.016,0.163,0.070,0.02967631742,0.0691259072,0.09880222463,70.16456664,0.04229556754,0.09851885944,0.140814427,0.09880222463,,,58.1,35.2,35.2,35.2,41.06666667,35.93333333,42.03333333,38.06666667,34.2,34.2,34.2,25.73333333,35.4,33.6
,,,,5.310466517,2.430142519,1.097510735,0.002216951521,0.1670912431,1736.416805,18680.20029,4955.635157,4.004666127,10.82506783,3.215367489,0.1129580012,0.2768679924,0.1398606116,0.002386601869,0.006384679124,0.003024736032,0.001233206379,0.002524947659,0.003756036706,,0.001759404917,0.003580034363,0.005337260177,0.003756036706,,,3.896650251,1.414595937,1.414595937,1.414595937,3.023442153,2.910075867,3.657865521,2.582032535,0.3076455013,0.3076455013,0.3076455013,2.247477203,2.520199628,1.395348837
HXB1,Sůl,1,HXB1-S-Carcass-1,297.700,189.930,55.666,0.707,1.283,13800.000,198000.000,59200.000,17.705,254.034,75.954,0.499,6.497,3.304,0.009,0.117,0.059,0.02460671212,0.04839209125,0.07299880338,70.69130732,0.03480868165,0.06845550477,0.1032641864,0.07299880338,,,96.2,68.9,68.9,68.9,68.2,76.9,78.5,74.6,77,77,77,73.1,72.2,71.9
,Sůl,2,HXB1-S-Carcass-2,321.800,201.562,58.160,0.711,2.251,21200.000,162000.000,47300.000,47.721,364.662,106.472,1.346,9.327,4.631,0.023,0.160,0.080,0.03229581393,0.06503953484,0.09733534877,71.14535478,0.04539412872,0.09141782347,0.1368119522,0.09733534877,,,97.8,70.2,70.2,70.2,81.7,88.7,84.3,78.9,87.1,87.1,87.1,82.3,86.4,88
,Sůl,3,HXB1-S-Carcass-3,281.800,182.851,52.451,0.713,1.842,20700.000,194000.000,57800.000,38.129,357.348,106.468,1.076,9.140,4.631,0.021,0.174,0.088,0.03551441618,0.07008997253,0.1056043887,71.31489573,0.04979943645,0.09828237398,0.1480818104,0.1056043887,,,80.6,48.3,48.3,48.3,43.5,28.9,52.5,36.6,35.8,35.8,35.8,46.7,50.6,44.9
,,,,300.433,191.448,55.426,0.711,1.792,18566.667,184666.667,54766.667,34.519,325.348,96.298,0.974,8.321,4.189,0.018,0.150,0.076,0.03080564741,0.06117386621,0.09197951362,71.05051928,0.04333408227,0.08605190074,0.129385983,0.09197951362,,,91.53333333,62.46666667,62.46666667,62.46666667,64.46666667,64.83333333,71.76666667,63.36666667,66.63333333,66.63333333,66.63333333,67.36666667,69.73333333,68.26666667
,,,,11.70906753,5.492658959,1.663998823,0.001874591677,0.2825192575,2404.428865,11471.82061,3781.454227,8.912908433,35.96971656,10.24338549,0.2514028109,0.9199815993,0.4455621837,0.004381991073,0.01745448354,0.008636627198,0.003258405797,0.006601002576,0.0098545187,,0.004479519145,0.009081785733,0.01355428985,0.0098545187,,,5.524581644,7.142964987,7.142964987,7.142964987,11.26262487,18.41485065,9.846258231,13.53494532,15.79987546,15.79987546,15.79987546,10.74391758,10.4808237,12.66192222
,Voda,4,HXB1-W-Carcass-4,320.300,201.319,58.565,0.709,2.142,21800.000,167000.000,47300.000,46.696,357.714,101.317,1.317,9.149,4.407,0.022,0.156,0.075,0.03087145708,0.064089927,0.09496138408,70.90935282,0.04353650944,0.09038289655,0.133919406,0.09496138408,,,,40.1,40.1,40.1,40.2,38.7,46.1,43.5,38,38,38,46.4,38.4,36.6
,Voda,5,HXB1-W-Carcass-5,326.200,204.742,61.833,0.698,1.700,23800.000,191000.000,54200.000,40.460,324.700,92.140,1.141,8.305,4.008,0.018,0.134,0.065,0.02804487021,0.05811186769,0.08615673791,69.79955261,0.04017915469,0.08325535841,0.1234345131,0.08615673791,,,18.7,38.6,38.6,38.6,45.6,41,44.7,39.2,38.3,38.3,38.3,40.6,37.3,34
,Voda,6,HXB1-W-Carcass-6,307.100,199.044,57.508,0.711,1.734,22400.000,194000.000,57400.000,38.842,336.396,99.532,1.096,8.604,4.329,0.019,0.150,0.075,0.03058854889,0.0607891444,0.09137769329,71.10789574,0.04301709194,0.08548859977,0.1285056917,0.09137769329,,,45.8,28.6,28.6,28.6,31.9,25.2,30.9,28.4,26.9,26.9,26.9,34.6,28.4,34.2
,,,,317.867,201.702,59.302,0.706,1.859,22666.667,184000.000,52966.667,41.999,339.603,97.663,1.185,8.686,4.248,0.020,0.147,0.072,0.02983495873,0.0609969797,0.09083193843,70.60560039,0.04224425202,0.08637561824,0.1286198703,0.09083193843,,,32.25,35.76666667,35.76666667,35.76666667,39.23333333,34.96666667,40.56666667,37.03333333,34.4,34.4,34.4,40.53333333,34.7,34.93333333
,,,,5.68589591,1.667563723,1.310886393,0.00409930969,0.1430011958,596.6978418,8603.865458,3000.998872,2.411065063,9.7320144,2.828713563,0.06800793912,0.2489114463,0.1230421127,0.001265907002,0.006534858524,0.003507434866,0.0009050594549,0.001740955817,0.002574198724,,0.001050689158,0.002119546998,0.003048476103,0.002574198724,,,11.14104289,3.634689793,3.634689793,3.634689793,4.012189602,4.962791969,4.884182333,4.523066495,3.777280435,3.777280435,3.777280435,3.43039679,3.188146482,0.8411835044
HXB3,Sůl,1,HXB3-S-Carcass-1,253.400,163.118,50.707,0.689,1.757,20000.000,185000.000,52400.000,35.140,325.045,92.067,0.991,8.314,4.005,0.020,0.164,0.079,0.03562534215,0.07395657732,0.1095819195,68.91391508,0.05169542626,0.1073173353,0.1590127616,0.1095819195,,,57.5,54.9,46.9,48,48,48,49.5,52.4,52,53.9,48,48,48,41.5
,Sůl,2,HXB3-S-Carcass-2,247.800,159.640,48.057,0.699,1.605,14600.000,196000.000,54700.000,23.433,314.580,87.794,0.661,8.046,3.819,0.014,0.167,0.079,0.03422387148,0.0721066302,0.1063305017,69.89664245,0.04896354143,0.1031617939,0.1521253353,0.1063305017,,,62.5,61,63.1,44,44,44,44.5,54.5,52.4,49.4,55.6,55.6,55.6,51.2
